file,line,col,severity,rule,message
ccy.q,15,0,WARNING,UNDERSCORE_IN_NAME,"Name 'ccy_to_str' contains underscore â€” conflicts with drop operator"
ccy.q,23,0,WARNING,UNDERSCORE_IN_NAME,"Name 'is_ccy_pair' contains underscore â€” conflicts with drop operator"
ccy.q,25,4,WARNING,UNDERSCORE_IN_NAME,"Name 'length_ok' contains underscore â€” conflicts with drop operator"
ccy.q,26,4,WARNING,UNDERSCORE_IN_NAME,"Name 'all_letters' contains underscore â€” conflicts with drop operator"
ccy.q,35,0,WARNING,UNDERSCORE_IN_NAME,"Name 'normalize_ccy_pair' contains underscore â€” conflicts with drop operator"
ccy.q,37,4,WARNING,UNDERSCORE_IN_NAME,"Name 'no_slash' contains underscore â€” conflicts with drop operator"
ccy.q,38,4,WARNING,UNDERSCORE_IN_NAME,"Name 'no_dash' contains underscore â€” conflicts with drop operator"
ccy.q,39,4,WARNING,UNDERSCORE_IN_NAME,"Name 'no_underscore' contains underscore â€” conflicts with drop operator"
ccy.q,40,4,WARNING,UNDERSCORE_IN_NAME,"Name 'no_space' contains underscore â€” conflicts with drop operator"
ccy.q,52,0,WARNING,UNDERSCORE_IN_NAME,"Name 'ccy_pair_symbol' contains underscore â€” conflicts with drop operator"
ccy.q,67,0,WARNING,UNDERSCORE_IN_NAME,"Name 'ccy_pair_legs' contains underscore â€” conflicts with drop operator"
execution.q,58,113,WARNING,LINE_TOO_LONG,"Line 58 exceeds 120 characters"
execution.q,43,0,WARNING,UNDERSCORE_IN_NAME,"Name 'markout_at_horizons' contains underscore â€” conflicts with drop operator"
execution.q,44,4,WARNING,UNDERSCORE_IN_NAME,"Name 'horizon_list' contains underscore â€” conflicts with drop operator"
execution.q,45,4,WARNING,UNDERSCORE_IN_NAME,"Name 'sorted_quotes' contains underscore â€” conflicts with drop operator"
execution.q,46,4,WARNING,UNDERSCORE_IN_NAME,"Name 'num_trades' contains underscore â€” conflicts with drop operator"
execution.q,47,4,WARNING,UNDERSCORE_IN_NAME,"Name 'num_horizons' contains underscore â€” conflicts with drop operator"
execution.q,49,4,WARNING,UNDERSCORE_IN_NAME,"Name 'trade_idx' contains underscore â€” conflicts with drop operator"
execution.q,50,4,WARNING,UNDERSCORE_IN_NAME,"Name 'horizon_idx' contains underscore â€” conflicts with drop operator"
execution.q,51,4,WARNING,UNDERSCORE_IN_NAME,"Name 'exp_trades' contains underscore â€” conflicts with drop operator"
execution.q,52,4,WARNING,UNDERSCORE_IN_NAME,"Name 'exp_horizons' contains underscore â€” conflicts with drop operator"
execution.q,53,4,WARNING,UNDERSCORE_IN_NAME,"Name 'target_time' contains underscore â€” conflicts with drop operator"
execution.q,54,4,WARNING,UNDERSCORE_IN_NAME,"Name 'lookup_tbl' contains underscore â€” conflicts with drop operator"
execution.q,56,4,WARNING,UNDERSCORE_IN_NAME,"Name 'ref_price' contains underscore â€” conflicts with drop operator"
execution.q,57,4,WARNING,UNDERSCORE_IN_NAME,"Name 'markout_pips' contains underscore â€” conflicts with drop operator"
execution.q,58,28,WARNING,UNDERSCORE_IN_NAME,"Name 'trade_time' contains underscore â€” conflicts with drop operator"
execution.q,58,91,WARNING,UNDERSCORE_IN_NAME,"Name 'trade_price' contains underscore â€” conflicts with drop operator"
execution.q,68,0,WARNING,UNDERSCORE_IN_NAME,"Name 'eff_spread' contains underscore â€” conflicts with drop operator"
execution.q,85,0,WARNING,UNDERSCORE_IN_NAME,"Name 'fill_ratio' contains underscore â€” conflicts with drop operator"
execution.q,92,0,WARNING,UNDERSCORE_IN_NAME,"Name 'reject_ratio' contains underscore â€” conflicts with drop operator"
execution.q,100,4,WARNING,UNDERSCORE_IN_NAME,"Name 'weighted_sum' contains underscore â€” conflicts with drop operator"
execution.q,101,4,WARNING,UNDERSCORE_IN_NAME,"Name 'total_size' contains underscore â€” conflicts with drop operator"
execution.q,121,0,WARNING,UNDERSCORE_IN_NAME,"Name 'sweep_price' contains underscore â€” conflicts with drop operator"
execution.q,124,4,WARNING,UNDERSCORE_IN_NAME,"Name 'cum_size' contains underscore â€” conflicts with drop operator"
execution.q,125,4,WARNING,UNDERSCORE_IN_NAME,"Name 'prior_cum' contains underscore â€” conflicts with drop operator"
execution.q,126,4,WARNING,UNDERSCORE_IN_NAME,"Name 'capped_cum' contains underscore â€” conflicts with drop operator"
execution.q,127,4,WARNING,UNDERSCORE_IN_NAME,"Name 'raw_consumed' contains underscore â€” conflicts with drop operator"
execution.q,129,4,WARNING,UNDERSCORE_IN_NAME,"Name 'filled_size' contains underscore â€” conflicts with drop operator"
execution.q,131,4,WARNING,UNDERSCORE_IN_NAME,"Name 'avg_price' contains underscore â€” conflicts with drop operator"
execution.q,132,4,WARNING,UNDERSCORE_IN_NAME,"Name 'touched_idx' contains underscore â€” conflicts with drop operator"
execution.q,133,4,WARNING,UNDERSCORE_IN_NAME,"Name 'worst_price' contains underscore â€” conflicts with drop operator"
execution.q,134,4,WARNING,UNDERSCORE_IN_NAME,"Name 'fully_filled' contains underscore â€” conflicts with drop operator"
execution.q,53,4,WARNING,UNUSED_VAR,"Variable 'target_time' is assigned but never used"
execution.q,57,4,WARNING,UNUSED_VAR,"Variable 'markout_pips' is assigned but never used"
rates.q,12,0,WARNING,UNDERSCORE_IN_NAME,"Name 'growth_simple' contains underscore â€” conflicts with drop operator"
rates.q,19,0,WARNING,UNDERSCORE_IN_NAME,"Name 'growth_cont' contains underscore â€” conflicts with drop operator"
rates.q,26,0,WARNING,UNDERSCORE_IN_NAME,"Name 'df_simple' contains underscore â€” conflicts with drop operator"
rates.q,33,0,WARNING,UNDERSCORE_IN_NAME,"Name 'df_cont' contains underscore â€” conflicts with drop operator"
rates.q,41,0,WARNING,UNDERSCORE_IN_NAME,"Name 'simple_to_cont' contains underscore â€” conflicts with drop operator"
rates.q,49,0,WARNING,UNDERSCORE_IN_NAME,"Name 'cont_to_simple' contains underscore â€” conflicts with drop operator"
options.q,22,0,WARNING,UNDERSCORE_IN_NAME,"Name 'd1_d2' contains underscore â€” conflicts with drop operator"
options.q,23,4,WARNING,UNDERSCORE_IN_NAME,"Name 'log_moneyness' contains underscore â€” conflicts with drop operator"
options.q,24,4,WARNING,UNDERSCORE_IN_NAME,"Name 'variance_adj' contains underscore â€” conflicts with drop operator"
options.q,25,4,WARNING,UNDERSCORE_IN_NAME,"Name 'drift_rate' contains underscore â€” conflicts with drop operator"
