namespace,name,kind,rank,params
qbfstate,acquire_lock,function,1,worker
qbfstate,bounded_worker_globals,value,,
qbfstate,bounded_worker_methods,value,,
qbfstate,bounded_workers,dict,,
qbfstate,checkpoint_path,function,1,worker
qbfstate,clear_checkpoint,function,1,worker
qbfstate,fail,function,4,worker spec progress err
qbfstate,file_lock_path,function,1,name
qbfstate,file_lock_wait,value,,
qbfstate,load_checkpoint,function,2,worker spec
qbfstate,lock_dir,function,1,
qbfstate,lock_held,function,1,worker
qbfstate,lock_path,function,1,worker
qbfstate,ns_names,function,1,ns
qbfstate,register,function,2,worker ns
qbfstate,registered,function,1,
qbfstate,release_lock,function,1,worker
qbfstate,require_contract,function,1,worker
qbfstate,run_pass,function,3,worker spec pass
qbfstate,save_checkpoint,function,3,worker spec cursor
qbfstate,with_file_lock,function,3,name f args
qbook,all_digit_string,function,1,s
qbook,book_from_wide_levels,function,3,tbl level_groups sym_cols
qbook,candidate_symbol_columns,function,3,tbl allowlist cardinality_ratio
qbook,derive_level_groups,function,2,col_names prefix_targets
qbook,fold_level_columns,function,2,tbl level_groups
qbook,is_string_column,function,2,tbl col
qbook,sorted_source_cols_for_prefix,function,3,col_names col_strs prefix_target
qbook,starts_with,function,2,prefix s
qbook,symbolize_columns,function,2,tbl sym_cols
qbw,advanced_to,function,3,worker current next_cursor
qbw,begin_run,function,1,worker
qbw,checkpoint,function,2,worker cursor
qbw,cleanup,function,1,worker
qbw,connect,function,1,worker
qbw,declaration,function,1,worker
qbw,define,function,2,worker cfg
qbw,do_window,function,2,worker w
qbw,empty_windows,function,1,
qbw,end_run,function,1,state
qbw,fetch,function,3,worker from_ts to_ts
qbw,init,function,2,worker run_spec
qbw,no_failures,function,1,
qbw,normalised,function,1,cfg
qbw,optional_cfg,value,,
qbw,partition_of,function,1,worker
qbw,plan,function,2,worker cursor
qbw,publish,function,2,worker batch
qbw,publish_last_batch,function,2,worker unused
qbw,publish_pending,function,1,worker
qbw,read_state,function,2,worker nm
qbw,record_facts,function,5,worker cfg w batch r
qbw,require_transform,function,2,worker cfg
qbw,required_cfg,value,,
qbw,run,function,1,worker
qbw,run_check,function,2,worker batch
qbw,spec,function,1,worker
qbw,transform_batch,function,2,worker batch
qbw,unpartitioned,value,,
qbw,worker_cfg,dict,,
qbw,write_state,function,3,worker nm v
qccy,ccy_pair_legs,function,1,pair
qccy,ccy_pair_symbol,function,2,base quote
qccy,ccy_to_str,function,1,x
qccy,is_ccy_pair,function,1,x
qccy,normalize_ccy_pair,function,1,x
qcoer,coerce_column,function,2,f col
qcoer,is_date_only,function,1,str
qcoer,numeric_chars,value,,
qcoer,require_present,function,2,field v
qcoer,to_date_as_midnight,function,1,str
qcoer,to_float,function,1,str
qcoer,to_long,function,1,str
qcoer,to_symbol,function,1,str
qcoer,to_symbol_cased,function,1,str
qcoer,to_timestamp,function,1,str
qcont,advance,function,3,worker current next_cursor
qcont,clear_cursor,function,1,worker
qcont,cursor_path,function,1,worker
qcont,dataset_freshness,function,1,dataset
qcont,dataset_is_fresh,function,2,dataset tolerance
qcont,feeders_of,function,1,dataset
qcont,feeds,dict,,
qcont,freshness,function,1,worker
qcont,is_fresh,function,2,worker tolerance
qcont,load_cursor,function,1,worker
qcont,poll_once,function,4,worker fetch_page publish_page next_cursor
