procname,proctype,offset,subscribes,publishes
cross1,metrics,25,quotes,
cryptomock1,feed,35,,crypto_book crypto_trades
cryptoposbook1,metrics,36,crypto_book crypto_trades,position
databento1,metrics,34,databento_mbp10,databento_book
deals_backfill1,backfill,32,,
events_backfill1,backfill,33,,
fxfeed1,feed,19,,quote
fxtradesfeed1,feed,29,,trades
markout1,metrics,31,quote trades,execution_quality
posbook1,metrics,30,quote trades,position
quotesfeed1,feed,24,,quotes
tap1,metrics,28,,
vectorize1,metrics,27,wide_book,mkt_orderbook
widefeed1,feed,26,,wide_book
