"table","column","type"
"arbitrage","time","p"
"arbitrage","sym","s"
"arbitrage","as_of","p"
"arbitrage","active","b"
"arbitrage","buy_source","s"
"arbitrage","sell_source","s"
"arbitrage","ask","f"
"arbitrage","bid","f"
"arbitrage","size","f"
"arbitrage","gross_edge","f"
"arbitrage","gross_profit","f"
"ccy_exposure","time","p"
"ccy_exposure","ccy","s"
"ccy_exposure","amount","f"
"ccy_exposure","reporting_ccy","s"
"ccy_exposure","reporting_amount","f"
"config_change","time","p"
"config_change","owner","s"
"config_change","name","s"
"config_change","old"," "
"config_change","new"," "
"config_change","as_of","p"
"connections","time","p"
"connections","venue","s"
"connections","host","s"
"connections","port","j"
"connections","status","s"
"connections","last_heartbeat","p"
"cross_arbitrage","time","p"
"cross_arbitrage","sym","s"
"cross_arbitrage","as_of","p"
"cross_arbitrage","active","b"
"cross_arbitrage","direction","s"
"cross_arbitrage","route"," "
"cross_arbitrage","direct_price","f"
"cross_arbitrage","synthetic_price","f"
"cross_arbitrage","size","f"
"cross_arbitrage","gross_edge","f"
"cross_arbitrage","gross_profit","f"
"cross_arbitrage","fully_filled","b"
"cross_arbitrage","skew","n"
"crypto_book","time","p"
"crypto_book","venue","s"
"crypto_book","sym","s"
"crypto_book","bid_prices"," "
"crypto_book","bid_sizes"," "
"crypto_book","ask_prices"," "
"crypto_book","ask_sizes"," "
"crypto_sim_fills","time","p"
"crypto_sim_fills","sym","s"
"crypto_sim_fills","side","j"
"crypto_sim_fills","trade_price","f"
"crypto_sim_fills","size","f"
"crypto_sim_fills","realized_delta_pnl","f"
"crypto_trades","time","p"
"crypto_trades","sym","s"
"crypto_trades","venue","s"
"crypto_trades","side","j"
"crypto_trades","trade_price","f"
"crypto_trades","size","f"
"crypto_trades","fee","f"
"crypto_trades","fee_currency","s"
"crypto_trades","exchange_fill_id","s"
"databento_book","time","p"
"databento_book","sym","s"
"databento_book","ts_event","p"
"databento_book","action","s"
"databento_book","side","s"
"databento_book","price","f"
"databento_book","size","j"
"databento_book","sequence","j"
"databento_book","bid_prices"," "
"databento_book","bid_sizes"," "
"databento_book","ask_prices"," "
"databento_book","ask_sizes"," "
"databento_mbp10","time","p"
"databento_mbp10","ts_event","p"
"databento_mbp10","sym","s"
"databento_mbp10","action","s"
"databento_mbp10","side","s"
"databento_mbp10","price","f"
"databento_mbp10","size","j"
"databento_mbp10","sequence","j"
"databento_mbp10","bid_px_00","f"
"databento_mbp10","bid_sz_00","j"
"databento_mbp10","ask_px_00","f"
"databento_mbp10","ask_sz_00","j"
"databento_mbp10","bid_px_01","f"
"databento_mbp10","bid_sz_01","j"
"databento_mbp10","ask_px_01","f"
"databento_mbp10","ask_sz_01","j"
"databento_mbp10","bid_px_02","f"
"databento_mbp10","bid_sz_02","j"
"databento_mbp10","ask_px_02","f"
"databento_mbp10","ask_sz_02","j"
"databento_mbp10","bid_px_03","f"
"databento_mbp10","bid_sz_03","j"
"databento_mbp10","ask_px_03","f"
"databento_mbp10","ask_sz_03","j"
"databento_mbp10","bid_px_04","f"
"databento_mbp10","bid_sz_04","j"
"databento_mbp10","ask_px_04","f"
"databento_mbp10","ask_sz_04","j"
"databento_mbp10","bid_px_05","f"
"databento_mbp10","bid_sz_05","j"
"databento_mbp10","ask_px_05","f"
"databento_mbp10","ask_sz_05","j"
"databento_mbp10","bid_px_06","f"
"databento_mbp10","bid_sz_06","j"
"databento_mbp10","ask_px_06","f"
"databento_mbp10","ask_sz_06","j"
"databento_mbp10","bid_px_07","f"
"databento_mbp10","bid_sz_07","j"
"databento_mbp10","ask_px_07","f"
"databento_mbp10","ask_sz_07","j"
"databento_mbp10","bid_px_08","f"
"databento_mbp10","bid_sz_08","j"
"databento_mbp10","ask_px_08","f"
"databento_mbp10","ask_sz_08","j"
"databento_mbp10","bid_px_09","f"
"databento_mbp10","bid_sz_09","j"
"databento_mbp10","ask_px_09","f"
"databento_mbp10","ask_sz_09","j"
"economic_calendar","time","p"
"economic_calendar","event_id","j"
"economic_calendar","ccy","s"
"economic_calendar","event_name","s"
"economic_calendar","importance","s"
"economic_calendar","forecast","f"
"economic_calendar","previous","f"
"economic_calendar","actual","f"
"etl_coverage","dataset","s"
"etl_coverage","partition","s"
"etl_coverage","source_version","s"
"etl_coverage","range_from","p"
"etl_coverage","range_to","p"
"etl_coverage","rows_published","j"
"etl_coverage","recorded_at","p"
"etl_coverage","superseded_at","p"
"etl_coverage","run_id","g"
"etl_run_meta","run_id","g"
"etl_run_meta","dataset","s"
"etl_run_meta","range_from","p"
"etl_run_meta","range_to","p"
"etl_run_meta","label","s"
"etl_run_meta","text"," "
"etl_run_meta","recorded_at","p"
"etl_runs","run_id","g"
"etl_runs","worker","s"
"etl_runs","process","s"
"etl_runs","host","s"
"etl_runs","pid","i"
"etl_runs","started_at","p"
"etl_runs","ended_at","p"
"etl_runs","status","s"
"execution_quality","time","p"
"execution_quality","sym","s"
"execution_quality","trade_time","p"
"execution_quality","horizon","n"
"execution_quality","trade_price","f"
"execution_quality","ref_price","f"
"execution_quality","markout_pips","f"
"executions","time","p"
"executions","source_time","p"
"executions","sym","s"
"executions","venue","s"
"executions","side","j"
"executions","size","f"
"executions","price","f"
"executions","fee","f"
"executions","fee_ccy","s"
"executions","fill_id","s"
"fx_limit_breach","time","p"
"fx_limit_breach","sym","s"
"fx_limit_breach","book","s"
"fx_limit_breach","product","s"
"fx_limit_breach","metric","s"
"fx_limit_breach","observed","f"
"fx_limit_breach","cap","f"
"fx_limit_breach","severity","s"
"fx_limit_breach","utilisation","f"
"fx_position","time","p"
"fx_position","sym","s"
"fx_position","book","s"
"fx_position","product","s"
"fx_position","base_qty","f"
"fx_position","quote_qty","f"
"fx_position","fill_count","j"
"fx_position","break_even","f"
"market_data","time","p"
"market_data","sym","s"
"market_data","source","s"
"market_data","source_time","p"
"market_data","bid_prices"," "
"market_data","bid_sizes"," "
"market_data","ask_prices"," "
"market_data","ask_sizes"," "
"marks","time","p"
"marks","source_time","p"
"marks","sym","s"
"marks","venue","s"
"marks","mid","f"
"mkt_orderbook","time","p"
"mkt_orderbook","sym","s"
"mkt_orderbook","bid_prices"," "
"mkt_orderbook","ask_prices"," "
"order_routing","time","p"
"order_routing","order_id","j"
"order_routing","venue","s"
"order_routing","routed_size","f"
"order_routing","routing_reason","s"
"orders","time","p"
"orders","order_id","j"
"orders","sym","s"
"orders","book","s"
"orders","product","s"
"orders","side","j"
"orders","size","f"
"orders","price","f"
"orders","order_status","s"
"position","time","p"
"position","sym","s"
"position","qty","f"
"position","avg_price","f"
"position","realized_pnl","f"
"position","mark_price","f"
"position","unrealized_pnl","f"
"position","total_pnl","f"
"predictions","time","p"
"predictions","sym","s"
"predictions","horizon_ms","j"
"predictions","model","s"
"predictions","predicted_mid","f"
"predictions","confidence","f"
"quotes","time","p"
"quotes","sym","s"
"quotes","bid_prices"," "
"quotes","bid_sizes"," "
"quotes","ask_prices"," "
"quotes","ask_sizes"," "
"reference_data","time","p"
"reference_data","sym","s"
"reference_data","base_ccy","s"
"reference_data","quote_ccy","s"
"reference_data","pip_factor","j"
"reference_data","min_size","f"
"reference_data","active","b"
"superbook","time","p"
"superbook","sym","s"
"superbook","as_of","p"
"superbook","bid_prices"," "
"superbook","bid_sizes"," "
"superbook","bid_sources"," "
"superbook","bid_times"," "
"superbook","ask_prices"," "
"superbook","ask_sizes"," "
"superbook","ask_sources"," "
"superbook","ask_times"," "
"trades","time","p"
"trades","sym","s"
"trades","side","j"
"trades","trade_price","f"
"trades","size","f"
"trades","pip_factor","j"
"wide_book","time","p"
"wide_book","sym","s"
"wide_book","bids0","f"
"wide_book","bids1","f"
"wide_book","bids2","f"
"wide_book","bids3","f"
"wide_book","bids4","f"
"wide_book","bids5","f"
"wide_book","bids6","f"
"wide_book","bids7","f"
"wide_book","bids8","f"
"wide_book","bids9","f"
