namespace,name,kind,rank,params
qalloc,all_rows,function,1,t
qalloc,allocate,function,2,trades opts
qalloc,append_lot,function,2,lots lot
qalloc,bucket,function,5,m bys kv seed sub
qalloc,by_cols,function,1,d
qalloc,by_trade,function,1,matches
qalloc,def,function,1,name
qalloc,default_opts,dict,,
qalloc,define,function,2,name decl
qalloc,defined,function,1,
qalloc,key_table,function,2,t bys
qalloc,merge_lot,function,2,lots lot
qalloc,methods,dict,,
qalloc,new_lots,function,1,trades
qalloc,new_matches,function,1,trades
qalloc,normalised_opts,function,1,opts
qalloc,pick_first,function,1,lots
qalloc,pick_highest,function,1,lots
qalloc,pick_last,function,1,lots
qalloc,pick_lowest,function,1,lots
qalloc,position,function,2,lots group_cols
qalloc,position_at,function,3,trades opts ts
qalloc,prepared,function,2,trades bys
qalloc,prepared_opening,function,2,opening bys
qalloc,require_method,function,1,decl
qalloc,required,value,,
qalloc,required_cols,value,,
qalloc,required_lot_cols,value,,
qalloc,residual,function,2,trades opts
qalloc,run,function,2,trades opts
qalloc,seed_lots,function,3,trades opening ix
qalloc,step,function,3,m state row
qalloc,summary,function,2,matches group_cols
qalloc,unrealised,function,2,lots marks
qalloc,with_by,function,3,out kv bys
qbook,all_digit_string,function,1,s
qbook,book_from_wide_levels,function,3,tbl level_groups sym_cols
qbook,candidate_symbol_columns,function,3,tbl allowlist cardinality_ratio
qbook,derive_level_groups,function,2,col_names prefix_targets
qbook,fold_level_columns,function,2,tbl level_groups
qbook,is_string_column,function,2,tbl col
qbook,sorted_source_cols_for_prefix,function,3,col_names col_strs prefix_target
qbook,starts_with,function,2,prefix s
qbook,symbolize_columns,function,2,tbl sym_cols
qccy,ccy_pair_legs,function,1,pair
qccy,ccy_pair_symbol,function,2,base quote
qccy,ccy_to_str,function,1,x
qccy,is_ccy_pair,function,1,x
qccy,normalize_ccy_pair,function,1,x
qdata,cfg,function,2,k dflt
qdata,databentoDir,function,1,
qdata,databentoFile,function,2,sym date
qdata,env,dict,,
qdata,getBySymbolDate,function,2,sym date
qdata,parseEnv,function,1,file
qdata,pqModule,function,1,
qdata,pqm,value,,
qdcf,dcf_30e_360,function,2,d1 d2
qdcf,dcf_act_360,function,2,d1 d2
qdcf,dcf_act_365,function,2,d1 d2
qdcf,year_frac,function,3,conv d1 d2
qdesk,apply_fills,function,2,book batch
qdesk,break_even,function,1,book
qdesk,ccy_exposure,function,2,book group_cols
qdesk,dimensions,function,1,book
qdesk,empty_book,function,1,dims
qdesk,required_cols,value,,
qdesk,rollup,function,2,book group_cols
qdqc,check_market_data_quality,function,2,quotes max_spread_bps
qdqc,check_stale_quotes,function,3,quotes as_of max_age
qdqc,summarize_checks,function,1,named_checks
qetl.cfg,audit,dict,,
qetl.cfg,default_values,dict,,
qetl.cfg,env_name,function,1,k
qetl.cfg,env_values,dict,,
qetl.cfg,errors,value,,
qetl.cfg,explain,function,1,k
qetl.cfg,falsy,value,,
qetl.cfg,get_flag,function,1,k
qetl.cfg,get_positive,function,1,k
qetl.cfg,get_symbol,function,1,k
qetl.cfg,get_timestamp,function,1,k
qetl.cfg,note,function,2,msg null_value
qetl.cfg,override_values,dict,,
qetl.cfg,raw,function,1,k
qetl.cfg,raw_from,function,2,source k
qetl.cfg,require_valid,function,1,
qetl.cfg,reset,function,1,
qetl.cfg,set_layers,function,3,overrides yaml defaults
qetl.cfg,sources,value,,
qetl.cfg,truthy,value,,
qetl.cfg,yaml_values,dict,,
qetl.cfg.audit,config_change,table,,
qetl.cfg.audit,forget,function,1,
qetl.cfg.audit,max_render,value,,
qetl.cfg.audit,owner_here,value,,
qetl.cfg.audit,period,value,,
qetl.cfg.audit,poll,function,2,owner as_of
qetl.cfg.audit,poll_and_publish,function,1,
qetl.cfg.audit,render,function,1,name
qetl.cfg.audit,seen,dict,,
qetl.cfg.audit,watch,function,2,owner names
qetl.cfg.audit,watched,dict,,
qetl.cfg.audit,watching,function,1,owner
qetl.coerce,coerce_column,function,2,f col
qetl.coerce,is_date_only,function,1,str
qetl.coerce,numeric_chars,value,,
qetl.coerce,require_present,function,2,field v
qetl.coerce,to_date_as_midnight,function,1,str
qetl.coerce,to_float,function,1,str
qetl.coerce,to_long,function,1,str
qetl.coerce,to_symbol,function,1,str
qetl.coerce,to_symbol_cased,function,1,str
qetl.coerce,to_timestamp,function,1,str
qetl.coverage,attach,function,1,
qetl.coverage,compose,function,1,intervals
qetl.coverage,contributing_runs,function,3,ds part version
qetl.coverage,current_run,function,1,
qetl.coverage,gaps,function,3,from_ts to_ts covered
qetl.coverage,history,function,3,ds part version
qetl.coverage,init_ledger,function,1,
qetl.coverage,intervals,function,4,ds part version as_of
qetl.coverage,is_covered,function,6,ds part version as_of from_ts to_ts
qetl.coverage,ledger,function,1,
qetl.coverage,ledger_path,function,1,
qetl.coverage,lock_path,function,1,
qetl.coverage,materialisations_of,function,1,id
qetl.coverage,missing,function,6,ds part version as_of from_ts to_ts
qetl.coverage,persist,function,1,
qetl.coverage,reload,function,1,
qetl.coverage,require_covered,function,6,ds part version as_of from_ts to_ts
qetl.coverage,require_interval,function,2,range_from range_to
qetl.coverage,require_schema,function,1,
qetl.coverage,schema,value,,
qetl.coverage,stage_completion,function,6,dataset partition source_version range_from range_to rows_published
qetl.coverage,still_current,value,,
qetl.coverage,supersede,function,5,ds part version from_ts to_ts
