table,column,type
crypto_book,time,timestamp
crypto_book,venue,symbol
crypto_book,sym,symbol
crypto_book,bid_prices,list
crypto_book,bid_sizes,list
crypto_book,ask_prices,list
crypto_book,ask_sizes,list
crypto_sim_fills,time,timestamp
crypto_sim_fills,sym,symbol
crypto_sim_fills,side,long
crypto_sim_fills,trade_price,float
crypto_sim_fills,size,float
crypto_sim_fills,realized_delta_pnl,float
crypto_trades,time,timestamp
crypto_trades,sym,symbol
crypto_trades,venue,symbol
crypto_trades,side,long
crypto_trades,trade_price,float
crypto_trades,size,float
crypto_trades,fee,float
crypto_trades,fee_currency,symbol
crypto_trades,exchange_fill_id,symbol
demo_deals,deal_id,long
demo_deals,deal_time,timestamp
demo_deals,sym,symbol
demo_deals,side,symbol
demo_deals,notional,float
demo_deals,rate,float
etl_coverage,dataset,symbol
etl_coverage,partition,symbol
etl_coverage,source_version,symbol
etl_coverage,range_from,timestamp
etl_coverage,range_to,timestamp
etl_coverage,rows_published,long
etl_coverage,recorded_at,timestamp
etl_coverage,superseded_at,timestamp
etl_coverage,run_id,guid
event_tape,time,timestamp
event_tape,sym,symbol
event_tape,action,symbol
event_tape,side,long
event_tape,size,float
event_tape,price,float
event_tape,order_id,long
event_tape,pip_factor,long
execution_quality,time,timestamp
execution_quality,sym,symbol
execution_quality,trade_time,timestamp
execution_quality,horizon,timespan
execution_quality,trade_price,float
execution_quality,ref_price,float
execution_quality,markout_pips,float
position,time,timestamp
position,sym,symbol
position,qty,float
position,avg_price,float
position,realized_pnl,float
position,mark_price,float
position,unrealized_pnl,float
position,total_pnl,float
quotes,time,timestamp
quotes,sym,symbol
quotes,bid_prices,list
quotes,bid_sizes,list
quotes,ask_prices,list
quotes,ask_sizes,list
trades,time,timestamp
trades,sym,symbol
trades,side,long
trades,trade_price,float
trades,size,float
trades,pip_factor,long
